EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BERGEN FLORIDA, NORWAY (STAID: 265)
Blended and updated with sources:5463 100576 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   265,100576,19000101,   32,    0
   265,100576,19000102,   27,    0
   265,100576,19000103,   27,    0
   265,100576,19000104,    7,    0
   265,100576,19000105,  -18,    0
   265,100576,19000106,   10,    0
   265,100576,19000107,   28,    0
   265,100576,19000108,   19,    0
   265,100576,19000109,   28,    0
   265,100576,19000110,   27,    0
   265,100576,19000111,   -7,    0
   265,100576,19000112,   17,    0
   265,100576,19000113,   15,    0
   265,100576,19000114,   13,    0
   265,100576,19000115,    2,    0
   265,100576,19000116,    2,    0
   265,100576,19000117,   21,    0
   265,100576,19000118,    3,    0
   265,100576,19000119,   27,    0
   265,100576,19000120,   40,    0
   265,100576,19000121,   46,    0
   265,100576,19000122,   41,    0
   265,100576,19000123,   43,    0
   265,100576,19000124,   39,    0
   265,100576,19000125,   43,    0
   265,100576,19000126,   58,    0
   265,100576,19000127,   23,    0
   265,100576,19000128,   -6,    0
   265,100576,19000129,    5,    0
   265,100576,19000130,  -17,    0
   265,100576,19000131,  -14,    0
   265,100576,19000201,  -30,    0
   265,100576,19000202,  -59,    0
   265,100576,19000203,  -55,    0
   265,100576,19000204,  -58,    0
   265,100576,19000205,  -62,    0
   265,100576,19000206,  -38,    0
   265,100576,19000207,  -69,    0
   265,100576,19000208,  -80,    0
   265,100576,19000209,  -31,    0
   265,100576,19000210,  -18,    0
   265,100576,19000211,    5,    0
   265,100576,19000212,  -15,    0
   265,100576,19000213,  -28,    0
   265,100576,19000214,  -33,    0
   265,100576,19000215,  -60,    0
   265,100576,19000216,  -30,    0
   265,100576,19000217,  -28,    0
   265,100576,19000218,  -34,    0
   265,100576,19000219,  -55,    0
   265,100576,19000220,  -12,    0
   265,100576,19000221,    2,    0
   265,100576,19000222,   -1,    0
   265,100576,19000223,  -41,    0
   265,100576,19000224,   33,    0
   265,100576,19000225,   37,    0
   265,100576,19000226,   25,    0
   265,100576,19000227,   21,    0
   265,100576,19000228,    6,    0
   265,100576,19000301,    7,    0
   265,100576,19000302,   -4,    0
   265,100576,19000303,   -8,    0
   265,100576,19000304,    6,    0
   265,100576,19000305,   12,    0
   265,100576,19000306,    9,    0
   265,100576,19000307,   10,    0
   265,100576,19000308,   31,    0
   265,100576,19000309,   30,    0
   265,100576,19000310,   37,    0
   265,100576,19000311,   34,    0
   265,100576,19000312,   32,    0
   265,100576,19000313,    5,    0
   265,100576,19000314,   10,    0
   265,100576,19000315,   34,    0
   265,100576,19000316,    7,    0
   265,100576,19000317,    1,    0
   265,100576,19000318,    9,    0
   265,100576,19000319,   33,    0
   265,100576,19000320,   47,    0
   265,100576,19000321,   27,    0
   265,100576,19000322,   34,    0
   265,100576,19000323,   29,    0
   265,100576,19000324,   19,    0
   265,100576,19000325,   27,    0
   265,100576,19000326,   10,    0
   265,100576,19000327,   -4,    0
   265,100576,19000328,   -2,    0
   265,100576,19000329,   21,    0
   265,100576,19000330,    1,    0
   265,100576,19000331,   -6,    0
   265,100576,19000401,   -4,    0
   265,100576,19000402,   -6,    0
   265,100576,19000403,    6,    0
   265,100576,19000404,   23,    0
   265,100576,19000405,   39,    0
   265,100576,19000406,   31,    0
   265,100576,19000407,   44,    0
   265,100576,19000408,   34,    0
   265,100576,19000409,   39,    0
   265,100576,19000410,   29,    0
   265,100576,19000411,   31,    0
   265,100576,19000412,   45,    0
   265,100576,19000413,   52,    0
   265,100576,19000414,   41,    0
   265,100576,19000415,   50,    0
   265,100576,19000416,   52,    0
   265,100576,19000417,   46,    0
   265,100576,19000418,   54,    0
   265,100576,19000419,   60,    0
   265,100576,19000420,   95,    0
   265,100576,19000421,   55,    0
   265,100576,19000422,   40,    0
   265,100576,19000423,   44,    0
   265,100576,19000424,   24,    0
   265,100576,19000425,   39,    0
   265,100576,19000426,   35,    0
   265,100576,19000427,   42,    0
   265,100576,19000428,   49,    0
   265,100576,19000429,   38,    0
   265,100576,19000430,   31,    0
   265,100576,19000501,   23,    0
   265,100576,19000502,   48,    0
   265,100576,19000503,  115,    0
   265,100576,19000504,   88,    0
   265,100576,19000505,  130,    0
   265,100576,19000506,  140,    0
   265,100576,19000507,  169,    0
   265,100576,19000508,  142,    0
   265,100576,19000509,  114,    0
   265,100576,19000510,   65,    0
   265,100576,19000511,   62,    0
   265,100576,19000512,   64,    0
   265,100576,19000513,   66,    0
   265,100576,19000514,   70,    0
   265,100576,19000515,   57,    0
   265,100576,19000516,   65,    0
   265,100576,19000517,   57,    0
   265,100576,19000518,   37,    0
   265,100576,19000519,   54,    0
   265,100576,19000520,   49,    0
   265,100576,19000521,   77,    0
   265,100576,19000522,   89,    0
   265,100576,19000523,   86,    0
   265,100576,19000524,   94,    0
   265,100576,19000525,   93,    0
   265,100576,19000526,   91,    0
   265,100576,19000527,   93,    0
   265,100576,19000528,  103,    0
   265,100576,19000529,  123,    0
   265,100576,19000530,  121,    0
   265,100576,19000531,  120,    0
   265,100576,19000601,  120,    0
   265,100576,19000602,  127,    0
   265,100576,19000603,  125,    0
   265,100576,19000604,  134,    0
   265,100576,19000605,  141,    0
   265,100576,19000606,  129,    0
   265,100576,19000607,  104,    0
   265,100576,19000608,   90,    0
   265,100576,19000609,   98,    0
   265,100576,19000610,  130,    0
   265,100576,19000611,  175,    0
   265,100576,19000612,  181,    0
   265,100576,19000613,  193,    0
   265,100576,19000614,  183,    0
   265,100576,19000615,  132,    0
   265,100576,19000616,  135,    0
   265,100576,19000617,  143,    0
   265,100576,19000618,  149,    0
   265,100576,19000619,  153,    0
   265,100576,19000620,  142,    0
   265,100576,19000621,  165,    0
   265,100576,19000622,  142,    0
   265,100576,19000623,  134,    0
   265,100576,19000624,  168,    0
   265,100576,19000625,  147,    0
   265,100576,19000626,  171,    0
   265,100576,19000627,  166,    0
   265,100576,19000628,  138,    0
   265,100576,19000629,  128,    0
   265,100576,19000630,  130,    0
   265,100576,19000701,  138,    0
   265,100576,19000702,  131,    0
   265,100576,19000703,  142,    0
   265,100576,19000704,  128,    0
   265,100576,19000705,  109,    0
   265,100576,19000706,  146,    0
   265,100576,19000707,  141,    0
   265,100576,19000708,  110,    0
   265,100576,19000709,  123,    0
   265,100576,19000710,  122,    0
   265,100576,19000711,  168,    0
   265,100576,19000712,  192,    0
   265,100576,19000713,  202,    0
   265,100576,19000714,  182,    0
   265,100576,19000715,  146,    0
   265,100576,19000716,  147,    0
   265,100576,19000717,  127,    0
   265,100576,19000718,  141,    0
   265,100576,19000719,  135,    0
   265,100576,19000720,  126,    0
   265,100576,19000721,  141,    0
   265,100576,19000722,  166,    0
   265,100576,19000723,  154,    0
   265,100576,19000724,  127,    0
   265,100576,19000725,  131,    0
   265,100576,19000726,  121,    0
   265,100576,19000727,  133,    0
   265,100576,19000728,  144,    0
   265,100576,19000729,  147,    0
   265,100576,19000730,  140,    0
   265,100576,19000731,  136,    0
   265,100576,19000801,  129,    0
   265,100576,19000802,  142,    0
   265,100576,19000803,  127,    0
   265,100576,19000804,  155,    0
   265,100576,19000805,  145,    0
   265,100576,19000806,  117,    0
   265,100576,19000807,  148,    0
   265,100576,19000808,  119,    0
   265,100576,19000809,  113,    0
   265,100576,19000810,  128,    0
   265,100576,19000811,  127,    0
   265,100576,19000812,  125,    0
   265,100576,19000813,  125,    0
   265,100576,19000814,  137,    0
   265,100576,19000815,  154,    0
   265,100576,19000816,  168,    0
   265,100576,19000817,  170,    0
   265,100576,19000818,  143,    0
   265,100576,19000819,  132,    0
   265,100576,19000820,  152,    0
   265,100576,19000821,  170,    0
   265,100576,19000822,  148,    0
   265,100576,19000823,  159,    0
   265,100576,19000824,  148,    0
   265,100576,19000825,  110,    0
   265,100576,19000826,  118,    0
   265,100576,19000827,  111,    0
   265,100576,19000828,  115,    0
   265,100576,19000829,  118,    0
   265,100576,19000830,  120,    0
   265,100576,19000831,  128,    0
   265,100576,19000901,  120,    0
   265,100576,19000902,  106,    0
   265,100576,19000903,   94,    0
   265,100576,19000904,  107,    0
   265,100576,19000905,  100,    0
   265,100576,19000906,   96,    0
   265,100576,19000907,   82,    0
   265,100576,19000908,   88,    0
   265,100576,19000909,   95,    0
   265,100576,19000910,  113,    0
   265,100576,19000911,  113,    0
   265,100576,19000912,  119,    0
   265,100576,19000913,  123,    0
   265,100576,19000914,  117,    0
   265,100576,19000915,  126,    0
   265,100576,19000916,  114,    0
   265,100576,19000917,  119,    0
   265,100576,19000918,  148,    0
   265,100576,19000919,  117,    0
   265,100576,19000920,  115,    0
   265,100576,19000921,  111,    0
   265,100576,19000922,  108,    0
   265,100576,19000923,  115,    0
   265,100576,19000924,  123,    0
   265,100576,19000925,   74,    0
   265,100576,19000926,   58,    0
   265,100576,19000927,   77,    0
   265,100576,19000928,   60,    0
   265,100576,19000929,   76,    0
   265,100576,19000930,  111,    0
   265,100576,19001001,   84,    0
   265,100576,19001002,   83,    0
   265,100576,19001003,   81,    0
   265,100576,19001004,   62,    0
   265,100576,19001005,   85,    0
   265,100576,19001006,   84,    0
   265,100576,19001007,   76,    0
   265,100576,19001008,  118,    0
   265,100576,19001009,   92,    0
   265,100576,19001010,   68,    0
   265,100576,19001011,   77,    0
   265,100576,19001012,   81,    0
   265,100576,19001013,   69,    0
   265,100576,19001014,   52,    0
   265,100576,19001015,   46,    0
   265,100576,19001016,   59,    0
   265,100576,19001017,   30,    0
   265,100576,19001018,   34,    0
   265,100576,19001019,   21,    0
   265,100576,19001020,   35,    0
   265,100576,19001021,   28,    0
   265,100576,19001022,   41,    0
   265,100576,19001023,   42,    0
   265,100576,19001024,   51,    0
   265,100576,19001025,   76,    0
   265,100576,19001026,   56,    0
   265,100576,19001027,  111,    0
   265,100576,19001028,   50,    0
   265,100576,19001029,   65,    0
   265,100576,19001030,   56,    0
   265,100576,19001031,   64,    0
   265,100576,19001101,   92,    0
   265,100576,19001102,   80,    0
   265,100576,19001103,   74,    0
   265,100576,19001104,   70,    0
   265,100576,19001105,   44,    0
   265,100576,19001106,   46,    0
   265,100576,19001107,   85,    0
   265,100576,19001108,   88,    0
   265,100576,19001109,   51,    0
   265,100576,19001110,   55,    0
   265,100576,19001111,   51,    0
   265,100576,19001112,   37,    0
   265,100576,19001113,   74,    0
   265,100576,19001114,   58,    0
   265,100576,19001115,   58,    0
   265,100576,19001116,   16,    0
   265,100576,19001117,   -1,    0
   265,100576,19001118,  -19,    0
   265,100576,19001119,   24,    0
   265,100576,19001120,   24,    0
   265,100576,19001121,   16,    0
   265,100576,19001122,   32,    0
   265,100576,19001123,   35,    0
   265,100576,19001124,   50,    0
   265,100576,19001125,   37,    0
   265,100576,19001126,   36,    0
   265,100576,19001127,   48,    0
   265,100576,19001128,   44,    0
   265,100576,19001129,   19,    0
   265,100576,19001130,   20,    0
   265,100576,19001201,   16,    0
   265,100576,19001202,   19,    0
   265,100576,19001203,   42,    0
   265,100576,19001204,   36,    0
   265,100576,19001205,   18,    0
   265,100576,19001206,  -15,    0
   265,100576,19001207,  -18,    0
   265,100576,19001208,   56,    0
   265,100576,19001209,   79,    0
   265,100576,19001210,   63,    0
   265,100576,19001211,   66,    0
   265,100576,19001212,   74,    0
   265,100576,19001213,   80,    0
   265,100576,19001214,   79,    0
   265,100576,19001215,   69,    0
   265,100576,19001216,   63,    0
   265,100576,19001217,   84,    0
   265,100576,19001218,   59,    0
   265,100576,19001219,   56,    0
   265,100576,19001220,   72,    0
   265,100576,19001221,   67,    0
   265,100576,19001222,   35,    0
   265,100576,19001223,   16,    0
   265,100576,19001224,   32,    0
   265,100576,19001225,   76,    0
   265,100576,19001226,   74,    0
   265,100576,19001227,   47,    0
   265,100576,19001228,   35,    0
   265,100576,19001229,   -2,    0
   265,100576,19001230,  -19,    0
   265,100576,19001231,  -40,    0
   265,100576,19010101,  -14,    0
   265,100576,19010102,   18,    0
   265,100576,19010103,   23,    0
   265,100576,19010104,   46,    0
   265,100576,19010105,   40,    0
   265,100576,19010106,   42,    0
   265,100576,19010107,   12,    0
   265,100576,19010108,  -19,    0
   265,100576,19010109,   14,    0
   265,100576,19010110,   26,    0
   265,100576,19010111,   42,    0
   265,100576,19010112,   12,    0
   265,100576,19010113,   -2,    0
   265,100576,19010114,   23,    0
   265,100576,19010115,   46,    0
   265,100576,19010116,   21,    0
   265,100576,19010117,   48,    0
   265,100576,19010118,   52,    0
   265,100576,19010119,   46,    0
   265,100576,19010120,   30,    0
   265,100576,19010121,   52,    0
   265,100576,19010122,   60,    0
   265,100576,19010123,   55,    0
   265,100576,19010124,   43,    0
   265,100576,19010125,   23,    0
   265,100576,19010126,   -5,    0
   265,100576,19010127,  -22,    0
   265,100576,19010128,  -31,    0
   265,100576,19010129,  -53,    0
   265,100576,19010130,  -79,    0
   265,100576,19010131,  -63,    0
   265,100576,19010201,  -24,    0
   265,100576,19010202,  -29,    0
   265,100576,19010203,    4,    0
   265,100576,19010204,   -2,    0
   265,100576,19010205,  -27,    0
   265,100576,19010206,   -5,    0
   265,100576,19010207,   23,    0
   265,100576,19010208,   22,    0
   265,100576,19010209,    9,    0
   265,100576,19010210,  -32,    0
   265,100576,19010211,  -16,    0
   265,100576,19010212,  -51,    0
   265,100576,19010213,  -71,    0
   265,100576,19010214,  -32,    0
   265,100576,19010215,   -5,    0
   265,100576,19010216,    1,    0
   265,100576,19010217,  -21,    0
   265,100576,19010218,    3,    0
   265,100576,19010219,   10,    0
   265,100576,19010220,   17,    0
   265,100576,19010221,   14,    0
   265,100576,19010222,   16,    0
   265,100576,19010223,   -3,    0
   265,100576,19010224,  -30,    0
   265,100576,19010225,  -41,    0
   265,100576,19010226,    0,    0
   265,100576,19010227,   14,    0
   265,100576,19010228,    9,    0
   265,100576,19010301,   -2,    0
   265,100576,19010302,   15,    0
   265,100576,19010303,   42,    0
   265,100576,19010304,   21,    0
   265,100576,19010305,   44,    0
   265,100576,19010306,   36,    0
   265,100576,19010307,   48,    0
   265,100576,19010308,   28,    0
   265,100576,19010309,   34,    0
   265,100576,19010310,   59,    0
   265,100576,19010311,   43,    0
   265,100576,19010312,   20,    0
   265,100576,19010313,   32,    0
   265,100576,19010314,   32,    0
   265,100576,19010315,   41,    0
   265,100576,19010316,   36,    0
   265,100576,19010317,   35,    0
   265,100576,19010318,   19,    0
   265,100576,19010319,   12,    0
   265,100576,19010320,   22,    0
   265,100576,19010321,   29,    0
   265,100576,19010322,   17,    0
   265,100576,19010323,   23,    0
   265,100576,19010324,    7,    0
   265,100576,19010325,  -21,    0
   265,100576,19010326,  -30,    0
   265,100576,19010327,  -25,    0
   265,100576,19010328,  -41,    0
   265,100576,19010329,   -5,    0
   265,100576,19010330,   -8,    0
   265,100576,19010331,   29,    0
   265,100576,19010401,   39,    0
   265,100576,19010402,   37,    0
   265,100576,19010403,   52,    0
   265,100576,19010404,   28,    0
   265,100576,19010405,   16,    0
   265,100576,19010406,   27,    0
   265,100576,19010407,   50,    0
   265,100576,19010408,   68,    0
   265,100576,19010409,   53,    0
   265,100576,19010410,   41,    0
   265,100576,19010411,   47,    0
   265,100576,19010412,   60,    0
   265,100576,19010413,   55,    0
   265,100576,19010414,   49,    0
   265,100576,19010415,   59,    0
   265,100576,19010416,   43,    0
   265,100576,19010417,   43,    0
   265,100576,19010418,   53,    0
   265,100576,19010419,   64,    0
   265,100576,19010420,  105,    0
   265,100576,19010421,  118,    0
   265,100576,19010422,  149,    0
   265,100576,19010423,  160,    0
   265,100576,19010424,  138,    0
   265,100576,19010425,  129,    0
   265,100576,19010426,  148,    0
   265,100576,19010427,  139,    0
   265,100576,19010428,  152,    0
   265,100576,19010429,  142,    0
   265,100576,19010430,  133,    0
   265,100576,19010501,  126,    0
   265,100576,19010502,  134,    0
   265,100576,19010503,  110,    0
   265,100576,19010504,  102,    0
   265,100576,19010505,   74,    0
   265,100576,19010506,   81,    0
   265,100576,19010507,  100,    0
   265,100576,19010508,  104,    0
   265,100576,19010509,  120,    0
   265,100576,19010510,  121,    0
   265,100576,19010511,  110,    0
   265,100576,19010512,   96,    0
   265,100576,19010513,   75,    0
   265,100576,19010514,   96,    0
   265,100576,19010515,  108,    0
   265,100576,19010516,   66,    0
   265,100576,19010517,   55,    0
   265,100576,19010518,   53,    0
   265,100576,19010519,   69,    0
   265,100576,19010520,   93,    0
   265,100576,19010521,  118,    0
   265,100576,19010522,  125,    0
   265,100576,19010523,  119,    0
   265,100576,19010524,  149,    0
   265,100576,19010525,  154,    0
   265,100576,19010526,  158,    0
   265,100576,19010527,  173,    0
   265,100576,19010528,  153,    0
   265,100576,19010529,  124,    0
   265,100576,19010530,  125,    0
   265,100576,19010531,  131,    0
   265,100576,19010601,  144,    0
   265,100576,19010602,  143,    0
   265,100576,19010603,  117,    0
   265,100576,19010604,  122,    0
   265,100576,19010605,  112,    0
   265,100576,19010606,  111,    0
   265,100576,19010607,  114,    0
   265,100576,19010608,  166,    0
   265,100576,19010609,  152,    0
   265,100576,19010610,  108,    0
   265,100576,19010611,   86,    0
   265,100576,19010612,   84,    0
   265,100576,19010613,   99,    0
   265,100576,19010614,  126,    0
   265,100576,19010615,  101,    0
   265,100576,19010616,   93,    0
   265,100576,19010617,   99,    0
   265,100576,19010618,  142,    0
   265,100576,19010619,  133,    0
   265,100576,19010620,  133,    0
   265,100576,19010621,  145,    0
   265,100576,19010622,  151,    0
   265,100576,19010623,  179,    0
   265,100576,19010624,  148,    0
   265,100576,19010625,  112,    0
   265,100576,19010626,  127,    0
   265,100576,19010627,  125,    0
   265,100576,19010628,  113,    0
   265,100576,19010629,  134,    0
   265,100576,19010630,  140,    0
   265,100576,19010701,  160,    0
   265,100576,19010702,  169,    0
   265,100576,19010703,  146,    0
   265,100576,19010704,  149,    0
   265,100576,19010705,  142,    0
   265,100576,19010706,  141,    0
   265,100576,19010707,  139,    0
   265,100576,19010708,  172,    0
   265,100576,19010709,  205,    0
   265,100576,19010710,  173,    0
   265,100576,19010711,  158,    0
   265,100576,19010712,  133,    0
   265,100576,19010713,  128,    0
   265,100576,19010714,  131,    0
   265,100576,19010715,  139,    0
   265,100576,19010716,  145,    0
   265,100576,19010717,  158,    0
   265,100576,19010718,  197,    0
   265,100576,19010719,  203,    0
   265,100576,19010720,  220,    0
   265,100576,19010721,  250,    0
   265,100576,19010722,  245,    0
   265,100576,19010723,  192,    0
   265,100576,19010724,  181,    0
   265,100576,19010725,  235,    0
   265,100576,19010726,  238,    0
   265,100576,19010727,  218,    0
   265,100576,19010728,  210,    0
   265,100576,19010729,  180,    0
   265,100576,19010730,  178,    0
   265,100576,19010731,  153,    0
   265,100576,19010801,  156,    0
   265,100576,19010802,  124,    0
   265,100576,19010803,  119,    0
   265,100576,19010804,  129,    0
   265,100576,19010805,  120,    0
   265,100576,19010806,  120,    0
   265,100576,19010807,  125,    0
   265,100576,19010808,  138,    0
   265,100576,19010809,  156,    0
   265,100576,19010810,  192,    0
   265,100576,19010811,  187,    0
   265,100576,19010812,  205,    0
   265,100576,19010813,  176,    0
   265,100576,19010814,  187,    0
   265,100576,19010815,  207,    0
   265,100576,19010816,  157,    0
   265,100576,19010817,  134,    0
   265,100576,19010818,  135,    0
   265,100576,19010819,  127,    0
   265,100576,19010820,  129,    0
   265,100576,19010821,  131,    0
   265,100576,19010822,  131,    0
   265,100576,19010823,  119,    0
   265,100576,19010824,  122,    0
   265,100576,19010825,  135,    0
   265,100576,19010826,  162,    0
   265,100576,19010827,  157,    0
   265,100576,19010828,  140,    0
   265,100576,19010829,  113,    0
   265,100576,19010830,  113,    0
   265,100576,19010831,  109,    0
   265,100576,19010901,  121,    0
   265,100576,19010902,  133,    0
   265,100576,19010903,  119,    0
   265,100576,19010904,  129,    0
   265,100576,19010905,  116,    0
   265,100576,19010906,  121,    0
   265,100576,19010907,  126,    0
   265,100576,19010908,  128,    0
   265,100576,19010909,  133,    0
   265,100576,19010910,  121,    0
   265,100576,19010911,  129,    0
   265,100576,19010912,  127,    0
   265,100576,19010913,  117,    0
   265,100576,19010914,  130,    0
   265,100576,19010915,  133,    0
   265,100576,19010916,  121,    0
   265,100576,19010917,  134,    0
   265,100576,19010918,  118,    0
   265,100576,19010919,  128,    0
   265,100576,19010920,  137,    0
   265,100576,19010921,  185,    0
   265,100576,19010922,  185,    0
   265,100576,19010923,  187,    0
   265,100576,19010924,  182,    0
   265,100576,19010925,  187,    0
   265,100576,19010926,  172,    0
   265,100576,19010927,  125,    0
   265,100576,19010928,  135,    0
   265,100576,19010929,  135,    0
   265,100576,19010930,  118,    0
   265,100576,19011001,  111,    0
   265,100576,19011002,  146,    0
   265,100576,19011003,  163,    0
   265,100576,19011004,  107,    0
   265,100576,19011005,   83,    0
   265,100576,19011006,   62,    0
   265,100576,19011007,   75,    0
   265,100576,19011008,   86,    0
   265,100576,19011009,   73,    0
   265,100576,19011010,   76,    0
   265,100576,19011011,   89,    0
   265,100576,19011012,   89,    0
   265,100576,19011013,   96,    0
   265,100576,19011014,   85,    0
   265,100576,19011015,   99,    0
   265,100576,19011016,  110,    0
   265,100576,19011017,  121,    0
   265,100576,19011018,  145,    0
   265,100576,19011019,  127,    0
   265,100576,19011020,  102,    0
   265,100576,19011021,   79,    0
   265,100576,19011022,   78,    0
   265,100576,19011023,   91,    0
   265,100576,19011024,   70,    0
   265,100576,19011025,   91,    0
   265,100576,19011026,   87,    0
   265,100576,19011027,  100,    0
   265,100576,19011028,  102,    0
   265,100576,19011029,   49,    0
   265,100576,19011030,   35,    0
   265,100576,19011031,   29,    0
   265,100576,19011101,   34,    0
   265,100576,19011102,   40,    0
   265,100576,19011103,   43,    0
   265,100576,19011104,   54,    0
   265,100576,19011105,   79,    0
   265,100576,19011106,   61,    0
   265,100576,19011107,   58,    0
   265,100576,19011108,   22,    0
   265,100576,19011109,    4,    0
   265,100576,19011110,   49,    0
   265,100576,19011111,   26,    0
   265,100576,19011112,  -10,    0
   265,100576,19011113,  -25,    0
   265,100576,19011114,  -19,    0
   265,100576,19011115,  -43,    0
   265,100576,19011116,    3,    0
   265,100576,19011117,   16,    0
   265,100576,19011118,    7,    0
   265,100576,19011119,   58,    0
   265,100576,19011120,    6,    0
   265,100576,19011121,  -19,    0
   265,100576,19011122,  -20,    0
   265,100576,19011123,    8,    0
   265,100576,19011124,   29,    0
   265,100576,19011125,   50,    0
   265,100576,19011126,   34,    0
   265,100576,19011127,   53,    0
   265,100576,19011128,    7,    0
   265,100576,19011129,   14,    0
   265,100576,19011130,   67,    0
   265,100576,19011201,   23,    0
   265,100576,19011202,   58,    0
   265,100576,19011203,   20,    0
   265,100576,19011204,   36,    0
   265,100576,19011205,   64,    0
   265,100576,19011206,   47,    0
   265,100576,19011207,   54,    0
   265,100576,19011208,   41,    0
   265,100576,19011209,    6,    0
   265,100576,19011210,  -20,    0
   265,100576,19011211,  -47,    0
   265,100576,19011212,   -3,    0
   265,100576,19011213,  -48,    0
   265,100576,19011214,  -41,    0
   265,100576,19011215,  -83,    0
   265,100576,19011216,  -55,    0
   265,100576,19011217,   11,    0
   265,100576,19011218,  -22,    0
   265,100576,19011219,    8,    0
   265,100576,19011220,  -25,    0
   265,100576,19011221,  -19,    0
   265,100576,19011222,   23,    0
   265,100576,19011223,   31,    0
   265,100576,19011224,   12,    0
   265,100576,19011225,   13,    0
   265,100576,19011226,   40,    0
   265,100576,19011227,   50,    0
   265,100576,19011228,   30,    0
   265,100576,19011229,   38,    0
   265,100576,19011230,   52,    0
   265,100576,19011231,   64,    0
   265,100576,19020101,   32,    0
   265,100576,19020102,   26,    0
   265,100576,19020103,   30,    0
   265,100576,19020104,   52,    0
   265,100576,19020105,   32,    0
   265,100576,19020106,   40,    0
   265,100576,19020107,   70,    0
   265,100576,19020108,   72,    0
   265,100576,19020109,   63,    0
   265,100576,19020110,   25,    0
   265,100576,19020111,   29,    0
   265,100576,19020112,   -3,    0
   265,100576,19020113,  -16,    0
   265,100576,19020114,  -20,    0
   265,100576,19020115,   31,    0
   265,100576,19020116,   26,    0
   265,100576,19020117,   65,    0
   265,100576,19020118,   63,    0
   265,100576,19020119,   53,    0
   265,100576,19020120,   33,    0
   265,100576,19020121,   20,    0
   265,100576,19020122,   51,    0
   265,100576,19020123,   60,    0
   265,100576,19020124,   65,    0
   265,100576,19020125,   26,    0
   265,100576,19020126,   20,    0
   265,100576,19020127,  -16,    0
   265,100576,19020128,  -30,    0
   265,100576,19020129,  -40,    0
   265,100576,19020130,  -40,    0
   265,100576,19020131,  -30,    0
   265,100576,19020201,  -17,    0
   265,100576,19020202,  -36,    0
   265,100576,19020203,   14,    0
   265,100576,19020204,   13,    0
   265,100576,19020205,  -21,    0
   265,100576,19020206,   14,    0
   265,100576,19020207,  -38,    0
   265,100576,19020208,  -20,    0
   265,100576,19020209,  -32,    0
   265,100576,19020210,  -81,    0
   265,100576,19020211,  -34,    0
   265,100576,19020212,   -6,    0
   265,100576,19020213,  -45,    0
   265,100576,19020214,  -16,    0
   265,100576,19020215,   25,    0
   265,100576,19020216,   36,    0
   265,100576,19020217,   21,    0
   265,100576,19020218,  -21,    0
   265,100576,19020219,   -5,    0
   265,100576,19020220,   -8,    0
   265,100576,19020221,   12,    0
   265,100576,19020222,   36,    0
   265,100576,19020223,   37,    0
   265,100576,19020224,   40,    0
   265,100576,19020225,   14,    0
   265,100576,19020226,    7,    0
   265,100576,19020227,    0,    0
   265,100576,19020228,  -18,    0
   265,100576,19020301,    1,    0
   265,100576,19020302,   25,    0
   265,100576,19020303,   36,    0
   265,100576,19020304,   46,    0
   265,100576,19020305,   41,    0
   265,100576,19020306,   45,    0
   265,100576,19020307,   38,    0
   265,100576,19020308,   20,    0
   265,100576,19020309,    5,    0
   265,100576,19020310,    2,    0
   265,100576,19020311,   23,    0
   265,100576,19020312,   17,    0
   265,100576,19020313,   25,    0
   265,100576,19020314,   50,    0
   265,100576,19020315,   41,    0
   265,100576,19020316,   45,    0
   265,100576,19020317,   26,    0
   265,100576,19020318,   55,    0
   265,100576,19020319,   42,    0
   265,100576,19020320,   24,    0
   265,100576,19020321,   35,    0
   265,100576,19020322,   45,    0
   265,100576,19020323,   51,    0
   265,100576,19020324,   37,    0
   265,100576,19020325,   48,    0
   265,100576,19020326,   33,    0
   265,100576,19020327,   25,    0
   265,100576,19020328,   24,    0
   265,100576,19020329,   21,    0
   265,100576,19020330,   32,    0
   265,100576,19020331,   21,    0
   265,100576,19020401,   32,    0
   265,100576,19020402,   32,    0
   265,100576,19020403,   45,    0
   265,100576,19020404,   46,    0
   265,100576,19020405,   35,    0
   265,100576,19020406,   32,    0
   265,100576,19020407,   31,    0
   265,100576,19020408,   28,    0
   265,100576,19020409,   23,    0
   265,100576,19020410,   23,    0
   265,100576,19020411,   49,    0
   265,100576,19020412,   50,    0
   265,100576,19020413,   78,    0
   265,100576,19020414,   74,    0
   265,100576,19020415,  104,    0
   265,100576,19020416,  104,    0
   265,100576,19020417,   74,    0
   265,100576,19020418,   56,    0
   265,100576,19020419,   90,    0
